time,current_status,current_stop_sequence,latitude,id,occupancy_status,revenue,route,stop,trip,longitude,bearing,delay
2024-12-05 19:20:18,STOPPED_AT,2,42.287199819,y1720,FEW_SEATS_AVAILABLE,REVENUE,23,367,64462894,-71.06490137,339,0
2024-12-05 19:24:20,IN_TRANSIT_TO,7,42.295574769,y1720,FEW_SEATS_AVAILABLE,REVENUE,23,460,64462894,-71.07212046,354,0
2024-12-05 19:28:21,STOPPED_AT,11,42.304031309,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,467,64462894,-71.07904638,331,0
2024-12-05 19:32:23,IN_TRANSIT_TO,15,42.30861061,y1720,FEW_SEATS_AVAILABLE,REVENUE,23,386,64462894,-71.08298913,16,0
2024-12-05 19:36:25,IN_TRANSIT_TO,19,42.31790789,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,392,64462894,-71.08190605,24,0
2024-12-05 19:40:26,IN_TRANSIT_TO,25,42.32828268,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,64000,64462894,-71.08321155,0,0
2024-12-05 19:44:28,STOPPED_AT,29,42.33135987,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,21148,64462894,-71.093896169,282,0
2024-12-05 19:48:30,IN_TRANSIT_TO,31,42.33538712,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,17861,64462894,-71.090158259,307,0
2024-12-05 19:52:31,STOPPED_AT,1,42.33613188,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,17862,64464392,-71.08919319,10,0
2024-12-05 19:56:33,STOPPED_AT,1,42.33613188,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,17862,64464392,-71.08919319,10,0
2024-12-05 20:00:35,STOPPED_AT,1,42.33613188,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,17862,64464392,-71.08919319,10,0
2024-12-05 20:04:36,IN_TRANSIT_TO,2,42.33541575,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,11257,64464392,-71.09007613,224,0
2024-12-05 20:08:38,STOPPED_AT,2,42.331184419,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,11257,64464392,-71.09260368,107,0
2024-12-05 20:12:40,IN_TRANSIT_TO,6,42.32907391,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,64000,64464392,-71.08549474,130,6
2024-12-05 20:16:41,IN_TRANSIT_TO,7,42.32910304,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,40001,64464392,-71.08484128,216,250
2024-12-05 20:28:46,IN_TRANSIT_TO,16,42.308609709,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,471,64464392,-71.08315661,198,271
2024-12-05 20:32:48,IN_TRANSIT_TO,19,42.30342544,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,475,64464392,-71.0785682,152,342
2024-12-05 20:36:49,IN_TRANSIT_TO,23,42.29566775,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,482,64464392,-71.07214604,176,354
2024-12-05 20:40:51,STOPPED_AT,26,42.28993526,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,426,64464392,-71.06945822,105,442
2024-12-05 20:44:53,IN_TRANSIT_TO,2,42.28456667,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,367,64462904,-71.06408845,90,145
2024-12-05 20:48:54,STOPPED_AT,4,42.290137239,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,371,64462904,-71.070587979,273,205
2024-12-05 20:52:56,IN_TRANSIT_TO,9,42.29932262,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,463,64462904,-71.07355531,335,222
2024-12-05 21:00:59,STOPPED_AT,15,42.31033542,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,386,64462904,-71.08313139,337,275
2024-12-05 21:05:01,STOPPED_AT,24,42.32705208,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,21151,64462904,-71.08316723,4,105
2024-12-05 21:09:03,IN_TRANSIT_TO,26,42.3289045,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,1148,64462904,-71.08495374,299,252
2024-12-05 21:13:04,STOPPED_AT,1,42.33534214,y1720,MANY_SEATS_AVAILABLE,REVENUE,23,17862,64464409,-71.09012551,331,0
