time,current_status,current_stop_sequence,latitude,id,occupancy_status,revenue,route,stop,trip,longitude,bearing,delay
2024-12-05 19:13:30,STOPPED_AT,17,42.34904591,y3276,MANY_SEATS_AVAILABLE,REVENUE,57,972,64460952,-71.15170983,274,869
2024-12-05 19:25:35,IN_TRANSIT_TO,32,42.36170878,y3276,MANY_SEATS_AVAILABLE,REVENUE,57,999,64460952,-71.18567283,353,594
2024-12-05 19:29:36,IN_TRANSIT_TO,5,42.35566972,y3276,MANY_SEATS_AVAILABLE,REVENUE,57,9031,64460862,-71.187755339,117,71
2024-12-05 19:41:41,IN_TRANSIT_TO,21,42.34992866,y3276,MANY_SEATS_AVAILABLE,REVENUE,57,922,64460862,-71.14755157,0,88
2024-12-05 19:45:43,STOPPED_AT,24,42.35339466,y3276,MANY_SEATS_AVAILABLE,REVENUE,57,926,64460862,-71.13651077,97,144
2024-12-05 19:49:44,IN_TRANSIT_TO,26,42.35298485,y3276,MANY_SEATS_AVAILABLE,REVENUE,57,928,64460862,-71.13277554,0,275
2024-12-05 19:53:46,IN_TRANSIT_TO,28,42.35210668,y3276,MANY_SEATS_AVAILABLE,REVENUE,57,933,64460862,-71.12507287,106,237
2024-12-05 19:57:48,IN_TRANSIT_TO,30,42.35043743,y3276,MANY_SEATS_AVAILABLE,REVENUE,57,937,64460862,-71.11121824,0,281
2024-12-05 20:01:50,IN_TRANSIT_TO,34,42.34885597,y3276,MANY_SEATS_AVAILABLE,REVENUE,57,899,64460862,-71.097739919,199,125
2024-12-05 20:05:51,IN_TRANSIT_TO,2,42.34896621,y3276,MANY_SEATS_AVAILABLE,REVENUE,57,951,64460955,-71.09642314,263,50
2024-12-05 20:13:54,IN_TRANSIT_TO,7,42.35184889,y3276,FEW_SEATS_AVAILABLE,REVENUE,57,958,64460955,-71.12086375,281,161
2024-12-05 20:21:58,IN_TRANSIT_TO,13,42.35208746,y3276,FEW_SEATS_AVAILABLE,REVENUE,57,967,64460955,-71.14156797,247,233
2024-12-05 20:25:59,IN_TRANSIT_TO,18,42.34917015,y3276,FEW_SEATS_AVAILABLE,REVENUE,57,973,64460955,-71.15312529,14,233
2024-12-05 20:30:01,STOPPED_AT,22,42.3504288,y3276,FEW_SEATS_AVAILABLE,REVENUE,57,9780,64460955,-71.16633425,279,292
2024-12-05 20:34:03,STOPPED_AT,29,42.35614069,y3276,MANY_SEATS_AVAILABLE,REVENUE,57,987,64460955,-71.18240291,323,341
2024-12-05 20:38:05,STOPPED_AT,14,42.35087276,y3263,FEW_SEATS_AVAILABLE,REVENUE,57,969,64460959,-71.14545248,246,417
2024-12-05 20:42:07,IN_TRANSIT_TO,20,42.34886499,y3263,FEW_SEATS_AVAILABLE,REVENUE,57,975,64460959,-71.15934303,265,373
2024-12-05 20:46:09,IN_TRANSIT_TO,24,42.35031965,y3263,MANY_SEATS_AVAILABLE,REVENUE,57,981,64460959,-71.17117135,292,488
2024-12-05 20:50:10,STOPPED_AT,30,42.358371,y3263,MANY_SEATS_AVAILABLE,REVENUE,57,988,64460959,-71.184899169,343,423
2024-12-05 20:54:13,STOPPED_AT,1,42.34899,y3230,MANY_SEATS_AVAILABLE,REVENUE,57,899,64460961,-71.09539,90,0
2024-12-05 20:58:15,IN_TRANSIT_TO,3,42.34968614,y3230,MANY_SEATS_AVAILABLE,REVENUE,57,952,64460961,-71.10261999,279,79
2024-12-05 21:06:18,STOPPED_AT,7,42.35185,y3230,FULL,REVENUE,57,958,64460961,-71.12065,270,286
