time,temp_c,precip_mm,humidity,wind_kph
2024-12-08 13:30:00,9.4,0.0,41,20.9
2024-12-08 14:30:00,9.4,0.0,44,20.2
2024-12-08 15:30:00,8.9,0.0,46,20.2
2024-12-08 16:30:00,8.3,0.0,49,20.9
2024-12-08 17:15:00,8.3,0.0,49,21.6
2024-12-08 18:30:00,8.3,0.0,49,20.2
2024-12-08 19:00:00,8.3,0.0,52,19.1
2024-12-08 20:30:00,7.2,0.0,58,18.4
2024-12-08 21:00:00,7.2,0.0,60,17.6
2024-12-08 22:30:00,6.7,0.0,62,16.9
2024-12-08 23:45:00,5.6,0.0,67,16.9
2024-12-09 00:30:00,5.6,0.0,64,13.3
2024-12-09 01:30:00,5.6,0.0,67,13.3
2024-12-09 02:30:00,4.4,0.0,73,11.9
2024-12-09 03:30:00,5.2,0.0,70,10.1
2024-12-09 04:00:00,3.9,0.0,72,12.2
2024-12-09 05:30:00,2.8,0.0,78,8.3
2024-12-09 06:30:00,3.3,0.0,82,7.6
2024-12-09 07:30:00,3.3,0.0,82,6.1
2024-12-09 08:30:00,3.9,0.0,82,6.5
2024-12-09 09:30:00,4.4,0.0,79,4.3
2024-12-09 10:30:00,5.2,0.0,79,5.0
2024-12-09 11:30:00,5.6,0.0,67,3.6
2024-12-09 12:30:00,2.9,0.0,78,4.0
2024-12-09 13:30:00,6.7,0.0,67,4.3
2024-12-09 14:30:00,6.7,0.0,67,6.5
2024-12-09 15:30:00,6.7,0.0,79,6.8
2024-12-09 16:30:00,6.7,0.0,79,7.9
2024-12-09 17:00:00,6.7,0.0,85,10.1
2024-12-09 18:30:00,6.7,0.87,89,12.2
2024-12-09 19:30:00,6.7,1.3,89,13.3
2024-12-09 20:30:00,6.7,1.73,89,14.8
2024-12-09 21:30:00,6.7,5.61,93,15.8
2024-12-09 22:30:00,6.7,7.56,93,13.3
2024-12-09 23:00:00,6.7,0.75,96,14.8
2024-12-10 00:30:00,6.7,3.53,93,10.4
2024-12-10 01:30:00,6.7,3.53,93,10.4
2024-12-10 02:30:00,6.1,1.54,93,9.0
2024-12-10 03:30:00,5.4,0.77,96,10.1
2024-12-10 04:30:00,5.1,0.38,96,10.1
2024-12-10 05:30:00,1.1,0.0,96,10.8
2024-12-10 06:45:00,1.7,0.0,88,11.9
2024-12-10 07:00:00,0.6,0.0,96,12.6
2024-12-10 08:30:00,1.7,0.0,88,13.0
2024-12-10 09:30:00,2.2,0.0,85,12.2
2024-12-10 10:30:00,1.7,0.0,88,10.4
2024-12-10 11:30:00,1.7,0.0,85,9.7
2024-12-10 12:00:00,1.1,0.0,88,9.0
2024-12-10 13:00:00,0.1,0.0,100,12.2
2024-12-10 14:30:00,0.0,0.0,100,11.2
2024-12-10 15:30:00,0.2,0.0,100,10.8
2024-12-10 16:30:00,0.2,0.0,100,10.8
2024-12-10 17:30:00,0.1,0.0,100,10.8
2024-12-10 18:30:00,0.0,0.0,100,10.8
2024-12-10 19:30:00,0.6,0.0,100,9.7
2024-12-10 20:30:00,1.1,0.0,100,7.6
2024-12-10 21:30:00,1.1,0.0,100,6.5
2024-12-10 22:30:00,1.1,0.0,100,4.7
2024-12-10 23:30:00,1.7,0.0,100,9.0
2024-12-11 00:30:00,2.8,0.0,100,11.5
2024-12-11 01:00:00,3.3,0.0,100,9.4
2024-12-11 02:45:00,3.3,0.0,100,11.5
2024-12-11 03:00:00,3.9,0.0,100,12.2
2024-12-11 04:00:00,3.9,0.0,100,10.1
2024-12-11 05:00:00,6.1,0.0,100,7.2
2024-12-11 06:00:00,5.6,0.0,100,5.4
2024-12-11 07:30:00,5.3,0.0,100,3.6
2024-12-11 08:30:00,9.1,3.27,96,6.1
2024-12-11 09:30:00,9.8,0.0,98,4.3
2024-12-11 10:15:00,10.7,0.0,98,4.3
2024-12-11 11:30:00,15.6,8.85,93,16.2
